"Resource type","Region","ID","tag:Name","tag:aws:cloudformation:stack-id","tag:aws:cloudformation:logical-id","tag:aws:cloudformation:stack-name","tag:Application owner","tag:Creation Date","tag:cpm backup","tag:Environment ","tag:Business Owner","tag:Create Date","tag:Cost Center Code","tag:Cost center ","tag:HostName","tag:Application team SNow Queue","tag:Application team DL","tag:Environment","tag:Multi-AZ deployement","tag:cost center","tag:PTH IDMD No","tag:Organisation","tag:Environment_Type","tag:Multi AZ deployment","tag:Cost Centre","tag:Snapshot Cleanup","tag:CloudManager","tag:System Description","tag:Application Criticality","tag:Public Accessible","tag:Morpheus Instance Id","tag:Ncode","tag:Allocated storage","tag:OS_Type","tag:IDMD Record","tag:Purpose","tag:Total_Volume_Count","tag:TempShutdown","tag:Environment Tag","tag:IDMD ","tag:Security group","tag:Cluster Name","tag:Instance_ID","tag:Göran Johansson","tag:Database Platform","tag:IDM Request","tag:cpm_policy_name","tag:Tool","tag:Cost_Center","tag:PMO","tag:Project","tag:Morpheus Server Id","tag:Instance Class","tag:Volume_Number","tag:Cost Center","tag:Organization","tag:Application Name","tag:Maintenance window","tag:Email","tag:Creation-Date","tag:Secondary zone - if multi-AZ enabled","tag:Secondary zone - if multi AZ enabled","tag:Requestor Name","tag:Instance class","tag:IDMD No","tag:1scheduler:ec2-startstop","tag:Character set","tag:Expiry Date","tag:InstanceId","tag:Security Patching Group","tag:Security Patching","tag:Hostname","tag:Snapshot_Type","tag:GXP","tag:ASM","tag:Created Date","tag:Morpheus Id","tag:Public accessible","tag:NCode","tag:Subnet group","tag:scheduler:ec2-startstop1","tag:scheduler:ec2-startstop","tag:Development","tag:IDMD","tag:Work Load","tag:Created-Date","tag:description","tag:OSM","tag:Multi-AZ Enabled","tag:Business ower","tag:Subnet Group","tag:Morpheus Tags","tag:Expiry","tag:Created date","tag:workload-type","tag:CreationDate","tag:Cost center","tag:OS","tag:Morpheus Environment","tag:AZ IDM","tag:Cost Code","tag:Parameter group","tag:Service_Type","tag:GxP","tag:AutoStartStop","tag:Status","tag:work-load type","tag:Network","tag:Volume_Type","tag:Applicaton Team DL","tag:DB Instance Class","tag:name","tag:Clarity_Code","tag:Allocated Storage","tag:Project_Name","tag:Project Name","tag:Team Mail ID","tag:Subnets","tag:Multi-AZ Deployment","tag:IDM ID","tag:Security groups","tag:Type","tag:Auto Start/Stop","tag:SR","tag:Backup","tag:Requesting Organization","tag:Organizatoin","tag:Organization Tag","tag:Owner","tag:Maintenace Window","tag:Organization ","tag:Application","tag:Cost code","tag:Volume_ID","tag:Cost Center ","tag:Secirity Groups","tag:cpm_server_id","tag:Version","tag:Parameter Group","tag:Requestor Email","tag:Application Team DL","tag:Application Teams SNOW Queue","tag:WorkingEnvironment","tag:WorkingEnvironmentId","tag:AWS Chargeback N-code","tag:test","tag:cpmsnapshot","tag:elasticbeanstalk:environment-id","tag:elasticbeanstalk:environment-name","tag:USCVAWATLASPD08","tag:Instance ID","tag:Srivdya  Pathasarathy","tag:Decommission","tag:Cost-Center","tag:schedulerec2-startstop","tag:Clarity-Code","tag:Retention_Days","tag:Request","tag:OS Type","tag:Clarity Project ID","tag:AZ Entity","tag:scheduler:ebssnapshot","tag:Bucket Name","tag:Multi-AZ deployment","tag:Costcenter","tag:N Code number for chargebacks","tag:Maintenance Window","tag:IDMD ID","tag:Environmnet","tag:ServiceRequest","tag:Project name","tag:Rotation","tag:screamtest","tag:IDM No","tag:Project code","tag:IMDB No","tag:AZ Business PM","tag:Volume_Id","tag:Multi AZ","tag:Volume for Deletion","tag:Project Number","tag:Request number","tag:CostCenter","tag:NamAZ-US-I&O-Linux-Cloudera-Data-Pre-Prod20-Servere","tag:aws:elasticmapreduce:job-flow-id","tag:aws:elasticmapreduce:instance-group-role","tag:Key Owner","tag:Snapshot_Test","tag:Environment Type","tag:S3 Name","tag:Clarity ID","tag:aws:autoscaling:groupName","tag:Disabled-scheduler:ec2-startstop","tag:Project-Name","tag:Bucket Owner","tag:Retain_Until","tag:Security","tag:Service request","tag: OS","tag:Name-","tag:Group Name"
"EC2 Volume","eu-west-1","vol-0f76547fb61f6d727","AZ-IE-I&O-Windows-dECiDE-PP-App-01","","","","","01/01/2001","","","","","","","","","","PreProd","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","K3198831","","","","","","","","","","","","","","","","","IECDWPPDEAPP01","","","","","","","","","","","","","","","","","","","","","","","","","","Windows","","","","","","","","","","","","","","","","","","","","","","","","","","","No","Default","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"EC2 Volume","eu-west-1","vol-05ecffb081969f11f","AZ-IE-I&O-Windows-dECiDE-PP-App-01","","","","","01/01/2001","","","","","","","","","","PreProd","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","K3198831","","","","","","","","","","","","","","","","","IECDWPPDEAPP01","","","","","","","","","","","","","","","","","","","","","","","","","","Windows","","","","","","","","","","","","","","","","","","","","","","","","","","","No","Default","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"EC2 Volume","eu-west-1","vol-00928c3a005653157","AZ-IE-I&O-Linux-dECiDE-Prd-DB-01","","","","","01/01/2001","","","","","","","","","","Production","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","K3198831","","","","","","","","","","","","","","","","","IECDLDEPRDB01","","","","","","","","","","","","","","","","","","","","","","","","","","Linux","","","","","","","","","","","","","","","","","","","","","","","","","","","No","Default","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"EC2 Volume","eu-west-1","vol-021084e2bf9a3ce26","AZ-IE-I&O-Linux-dECiDE-Prd-DB-01","","","","","01/01/2001","","","","","","","","","","Production","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","K3198831","","","","","","","","","","","","","","","","","IECDLDEPRDB01","","","","","","","","","","","","","","","","","","","","","","","","","","Linux","","","","","","","","","","","","","","","","","","","","","","","","","","","No","Default","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"EC2 Volume","eu-west-1","vol-0d4b0e5e04dfde2eb","AZ-IE-I&O-Linux-dECiDE-Prd-DB-01","","","","","01/01/2001","","","","","","","","","","Production","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","K3198831","","","","","","","","","","","","","","","","","IECDLDEPRDB01","","","","","","","","","","","","","","","","","","","","","","","","","","Linux","","","","","","","","","","","","","","","","","","","","","","","","","","","No","Default","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"EC2 Volume","eu-west-1","vol-0da75369383ec60e7","AZ-EU-I&O-Windows-Temp-Root Domain Controller 1","","","","","01/01/2001","","","","","","","","","","Production","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6807","","","","","","","","","","","","","","","","","IRCDWAZDC01_tmp","","","","","","","","","","","","","","","","","","","","","","","","","","Windows","","","","","","","","","","","","","","","","","","","","","","","","","","","No","Default","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"EC2 Volume","eu-west-1","vol-0eeee7972cd607a0f","AZ-EU-I&O-Windows-Temp-Root Domain Controller 1","","","","","01/01/2001","","","","","","","","","","Production","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6807","","","","","","","","","","","","","","","","","IRCDWAZDC01_tmp","","","","","","","","","","","","","","","","","","","","","","","","","","Windows","","","","","","","","","","","","","","","","","","","","","","","","","","","No","Default","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"EC2 Volume","eu-west-1","vol-0241a2c0fba49e218","","","","","","01/01/2001","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Default","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"EC2 Volume","eu-west-1","vol-01dde09671fc6deb1","AZ-EU-I&O-Windows-Temp-Root Domain Controller 2","","","","","01/01/2001","","","","","","","","","","Production","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6807","","","","","","","","","","","","","","","","","IRCDWAZDC02_tmp","","","","","","","","","","","","","","","","","","","","","","","","","","Windows","","","","","","","","","","","","","","","","","","","","","","","","","","","No","Default","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"EC2 Volume","eu-west-1","vol-04b96e5e21005491a","AZ-EU-I&O-Windows-Temp-Root Domain Controller 2","","","","","01/01/2001","","","","","","","","","","Production","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6807","","","","","","","","","","","","","","","","","IRCDWAZDC02_tmp","","","","","","","","","","","","","","","","","","","","","","","","","","Windows","","","","","","","","","","","","","","","","","","","","","","","","","","","No","Default","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"EC2 Volume","eu-west-1","vol-0e50a33442db95aad","","","","","","01/01/2001","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Default","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"EC2 Volume","eu-west-1","vol-0ab2d06cf8da26924","AZ-EU-I&O-Windows-Temp-EMEA Domain Controller 1","","","","","01/01/2001","","","","","","","","","","Production","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6807","","","","","","","","","","","","","","","","","IRCDWEMDC01_tmp","","","","","","","","","","","","","","","","","","","","","","","","","","Windows","","","","","","","","","","","","","","","","","","","","","","","","","","","No","Default","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"EC2 Volume","eu-west-1","vol-0092104a6a04ce5b4","","","","","","01/01/2001","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Default","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"EC2 Volume","eu-west-1","vol-0b71185a0d9c14eb7","AZ-EU-I&O-Windows-Temp-EMEA Domain Controller 1","","","","","01/01/2001","","","","","","","","","","Production","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6807","","","","","","","","","","","","","","","","","IRCDWEMDC01_tmp","","","","","","","","","","","","","","","","","","","","","","","","","","Windows","","","","","","","","","","","","","","","","","","","","","","","","","","","No","Default","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"EC2 Volume","eu-west-1","vol-0902e09039d631ca3","","","","","","01/01/2001","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Default","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"EC2 Volume","eu-west-1","vol-03ea44a55dc37cf52","","","","","","01/01/2001","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Default","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"EC2 Volume","eu-west-1","vol-0b1b91ae837a8ab28","","","","","","01/01/2001","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Default","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"EC2 Volume","eu-west-1","vol-0f64c6892a7af84a8","AZ-IE-I&O-Linux-ALM-PreProd-App-01","","","","","01/01/2001","","","","","","","","","","PreProd","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6666","","","","","","","","","","","","","","","","","IECDLPPJIAPP01","","","","","","","","","","","","","","","","","","","","","","","","","","Linux","","","","","","","","","","","","","","","","","","","","","","","","","","","No","Default","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"EC2 Volume","eu-west-1","vol-00d6c6c15c4b07603","AZ-IE-I&O-Linux-ALM-PreProd-App-01","","","","","01/01/2001","","","","","","","","","","PreProd","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6666","","","","","","","","","","","","","","","","","IECDLPPJIAPP01","","","","","","","","","","","","","","","","","","","","","","","","","","Linux","","","","","","","","","","","","","","","","","","","","","","","","","","","No","Default","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"EC2 Volume","eu-west-1","vol-0d397454345b5872a","AZ-IE-I&O-Linux-ALM-PreProd-App-01","","","","","01/01/2001","","","","","","","","","","PreProd","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6666","","","","","","","","","","","","","","","","","IECDLPPJIAPP01","","","","","","","","","","","","","","","","","","","","","","","","","","Linux","","","","","","","","","","","","","","","","","","","","","","","","","","","No","Default","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
